epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6686,2.9271,4.2041,1.61675,0.03524,0.74699,0.05405,0.01412,2.51188,2.95779,1.43797,2e-05,2e-05,2e-05
2,60.8468,2.62344,2.83578,1.42941,0.5893,0.71084,0.59764,0.17935,2.49352,2.1966,1.534,5.8812e-05,5.8812e-05,5.8812e-05
3,91.8746,2.32423,1.99952,1.39931,0.74449,0.77235,0.80885,0.2874,2.24764,1.27318,1.41582,9.604e-05,9.604e-05,9.604e-05
4,120.301,2.18973,1.44816,1.38497,0.78127,0.79518,0.84564,0.33449,1.99212,1.805,1.30948,0.000131684,0.000131684,0.000131684
5,147.118,2.02869,1.26805,1.25091,0.61371,0.6508,0.55911,0.18477,2.18098,1.76449,1.36699,0.000165744,0.000165744,0.000165744
6,176.37,1.89898,2.08509,1.25615,0.75546,0.67001,0.65595,0.21338,2.15582,1.87507,1.32551,0.00019822,0.00019822,0.00019822
7,205.175,2.2164,1.52174,1.45991,0.51591,0.90361,0.54471,0.24445,1.71493,3.45522,1.16903,0.000229112,0.000229112,0.000229112
8,232.063,1.99809,1.53922,1.26034,0.32075,0.46988,0.2715,0.13426,1.75185,2.04982,1.18723,0.00025842,0.00025842,0.00025842
9,258.127,2.03783,1.59556,1.18921,0.10054,0.77108,0.08867,0.03568,2.06209,50.7719,1.30185,0.000286144,0.000286144,0.000286144
10,285.628,1.70181,0.92221,1.12346,0.12536,0.85542,0.12049,0.04777,1.86581,98.8318,1.21593,0.000312284,0.000312284,0.000312284
11,312.584,1.63299,1.74371,1.1246,0.15863,0.87952,0.15302,0.06539,1.79528,60.0843,1.18223,0.00033684,0.00033684,0.00033684
12,338.132,1.97954,1.15354,1.25977,0.15863,0.87952,0.15302,0.06539,1.79528,60.0843,1.18223,0.000359812,0.000359812,0.000359812
13,366.224,1.85136,1.51847,1.19722,0.09285,0.79417,0.0866,0.04582,1.65392,173.426,1.11739,0.0003812,0.0003812,0.0003812
14,394.164,1.7402,2.07847,1.16903,0.08955,0.78313,0.08506,0.04498,1.61024,384.694,1.09784,0.000401004,0.000401004,0.000401004
15,421.423,1.72073,1.60705,1.17886,0.08955,0.78313,0.08506,0.04498,1.61024,384.694,1.09784,0.000419224,0.000419224,0.000419224
16,447.866,1.56289,1.17694,1.10848,0.0923,0.87952,0.08943,0.04445,1.60821,363.741,1.10054,0.00043586,0.00043586,0.00043586
17,479.861,1.60441,0.99312,1.10144,0.11044,0.89157,0.11192,0.06529,1.40688,101.293,1.05904,0.000450912,0.000450912,0.000450912
18,507.569,1.7393,1.24416,1.17765,0.11044,0.89157,0.11192,0.06529,1.40688,101.293,1.05904,0.00046438,0.00046438,0.00046438
19,534.972,1.77026,1.10343,1.16108,0.14987,0.91566,0.15002,0.0898,1.3412,34.4916,1.02716,0.000476264,0.000476264,0.000476264
20,560.689,1.6078,0.85549,1.10286,0.14987,0.91566,0.15002,0.0898,1.3412,34.4916,1.02716,0.000486564,0.000486564,0.000486564
21,586.885,1.52105,0.80216,1.14935,0.22039,0.95708,0.22222,0.12392,1.49122,16.5891,1.09756,0.00049528,0.00049528,0.00049528
22,612.499,1.66859,0.77293,1.16158,0.22039,0.95708,0.22222,0.12392,1.49122,16.5891,1.09756,0.000502412,0.000502412,0.000502412
23,638.568,1.58352,0.74483,1.19278,0.33546,0.93976,0.42521,0.25097,1.31415,5.3142,1.01102,0.00050796,0.00050796,0.00050796
24,664.296,1.34181,0.66582,1.07471,0.33546,0.93976,0.42521,0.25097,1.31415,5.3142,1.01102,0.000511924,0.000511924,0.000511924
25,692.894,1.47443,0.69918,1.02659,0.9514,0.96386,0.97926,0.65293,1.17648,1.11759,0.96696,0.000514304,0.000514304,0.000514304
26,720.35,1.57171,0.69846,1.04845,0.9514,0.96386,0.97926,0.65293,1.17648,1.11759,0.96696,0.0005151,0.0005151,0.0005151
27,749.259,1.46426,0.72027,1.10245,0.9514,0.96386,0.97926,0.65293,1.17648,1.11759,0.96696,0.000514312,0.000514312,0.000514312
28,782.58,1.45493,0.69852,1.01274,0.96417,0.9727,0.97396,0.58147,1.46495,0.97546,1.07462,0.00051194,0.00051194,0.00051194
29,813.849,1.39053,0.65177,0.98153,0.96417,0.9727,0.97396,0.58147,1.46495,0.97546,1.07462,0.000507984,0.000507984,0.000507984
30,845.807,1.53362,0.67458,0.989,0.98764,0.96256,0.97526,0.63078,1.22587,0.78412,0.99278,0.000502444,0.000502444,0.000502444
31,876.645,1.32701,0.60443,0.96494,0.98764,0.96256,0.97526,0.63078,1.22587,0.78412,0.99278,0.00049532,0.00049532,0.00049532
32,907.159,1.31681,0.62533,0.95779,0.98764,0.96256,0.97526,0.63078,1.22587,0.78412,0.99278,0.000486612,0.000486612,0.000486612
33,937.612,1.45698,0.65198,1.01439,0.96326,0.94779,0.97355,0.64514,1.21328,0.72115,0.97782,0.00047632,0.00047632,0.00047632
34,969.84,1.29421,0.61354,1.00187,0.96326,0.94779,0.97355,0.64514,1.21328,0.72115,0.97782,0.000464444,0.000464444,0.000464444
35,1001.53,1.29562,0.60227,0.98734,0.96326,0.94779,0.97355,0.64514,1.21328,0.72115,0.97782,0.000450984,0.000450984,0.000450984
36,1033.2,1.23187,0.55859,0.98412,0.98737,0.94229,0.98521,0.6762,1.10907,0.67231,0.93993,0.00043594,0.00043594,0.00043594
37,1063.96,1.2495,0.59172,0.98677,0.98737,0.94229,0.98521,0.6762,1.10907,0.67231,0.93993,0.000419312,0.000419312,0.000419312
38,1096.36,1.23474,0.61251,0.9553,0.98737,0.94229,0.98521,0.6762,1.10907,0.67231,0.93993,0.0004011,0.0004011,0.0004011
39,1128.78,1.16973,0.53699,0.98711,0.96456,0.98373,0.98903,0.70761,1.04584,0.56083,0.92292,0.000381304,0.000381304,0.000381304
40,1160.35,1.14449,0.55701,0.91196,0.96456,0.98373,0.98903,0.70761,1.04584,0.56083,0.92292,0.000359924,0.000359924,0.000359924
41,1191.43,1.14036,0.56107,1.00561,0.96456,0.98373,0.98903,0.70761,1.04584,0.56083,0.92292,0.00033696,0.00033696,0.00033696
42,1223.98,1.25154,0.63232,0.96598,0.97616,0.98654,0.98777,0.74521,0.92199,0.4829,0.89002,0.000312412,0.000312412,0.000312412
43,1253.96,1.07284,0.52119,0.98258,0.97616,0.98654,0.98777,0.74521,0.92199,0.4829,0.89002,0.00028628,0.00028628,0.00028628
